province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
province-1,dhankuta,Urban,Total(Male+Female),73695,60570,179,12940,6,82.4330008820137
province-1,dhankuta,Urban,Male,36192,32399,65,3726,2,89.69938107869142
province-1,dhankuta,Urban,Female,37503,28171,114,9214,4,75.42063301602539
province-1,dhankuta,Rural,Total(Male+Female),66198,53246,295,12656,1,80.8800870116922
province-1,dhankuta,Rural,Male,32133,27849,114,4169,1,87.02268695733359
province-1,dhankuta,Rural,Female,34065,25397,181,8487,0,75.08586525759577
province-1,terhathum,Total(Urban+Rural),Total(Male+Female),81982,67178,268,14531,5,82.26927862213657
province-1,terhathum,Total(Urban+Rural),Male,40046,35742,120,4180,4,89.55201518254007
province-1,terhathum,Total(Urban+Rural),Female,41936,31436,148,10351,1,75.31476535673407
province-1,terhathum,Rural,Total(Male+Female),49985,40292,170,9520,3,80.9482844853456
province-1,terhathum,Rural,Male,24416,21455,79,2880,2,88.19626474442988
province-1,terhathum,Rural,Female,25569,18837,91,6640,1,74.02714224255935
province-1,terhathum,Urban,Total(Male+Female),31997,26886,98,5011,2,84.33290620995719
province-1,terhathum,Urban,Male,15630,14287,41,1300,2,91.66986564299424
province-1,terhathum,Urban,Female,16367,12599,57,3711,0,77.32632736604143
province-1,panchthar,Total(Urban+Rural),Total(Male+Female),158424,130362,305,27748,9,82.47929606625259
province-1,panchthar,Total(Urban+Rural),Male,78552,69656,129,8763,4,88.8392402484978
province-1,panchthar,Total(Urban+Rural),Female,79872,60706,176,18985,5,76.22445913461539
province-1,panchthar,Rural,Total(Male+Female),112508,91718,176,20609,5,81.67774736018772
province-1,panchthar,Rural,Male,55580,48980,74,6523,3,88.25836631881971
province-1,panchthar,Rural,Female,56928,42738,102,14086,2,75.25295109612141
province-1,panchthar,Urban,Total(Male+Female),45916,38644,129,7139,4,84.44333130063595
province-1,panchthar,Urban,Male,22972,20676,55,2240,1,90.2446456555807
province-1,panchthar,Urban,Female,22944,17968,74,4899,3,78.63493723849372
province-1,ilam,Total(Urban+Rural),Total(Male+Female),261492,218008,586,42894,4,83.59490921328377
province-1,ilam,Total(Urban+Rural),Male,130192,115427,260,14504,1,88.85876244316087
province-1,ilam,Total(Urban+Rural),Female,131300,102581,326,28390,3,78.37547600913938
province-1,ilam,Rural,Total(Male+Female),104160,85201,291,18667,1,82.07757296466974
province-1,ilam,Rural,Male,52085,45479,126,6480,0,87.55879811846022
province-1,ilam,Rural,Female,52075,39722,165,12187,1,76.59529524723956
province-1,ilam,Urban,Total(Male+Female),157332,132807,295,24227,3,84.5994457580149
province-1,ilam,Urban,Male,78107,69948,134,8024,1,89.72563278579385
province-1,ilam,Urban,Female,79225,62859,161,16203,2,79.54559798043547
province-1,jhapa,Total(Urban+Rural),Total(Male+Female),925015,766219,2450,156299,47,83.09800381615433
province-1,jhapa,Total(Urban+Rural),Male,440501,390143,1043,49299,16,88.80479272464761
province-1,jhapa,Total(Urban+Rural),Female,484514,376076,1407,107000,31,77.9096166467842
province-1,jhapa,Urban,Total(Male+Female),655210,552131,1899,101149,31,84.55762274690557
province-1,jhapa,Urban,Male,313070,280447,788,31824,11,89.83134762193758
province-1,jhapa,Urban,Female,342140,271684,1111,69325,20,79.73198106038464
province-1,jhapa,Rural,Total(Male+Female),269805,214088,551,55150,16,79.55338114564222
province-1,jhapa,Rural,Male,127431,109696,255,17475,5,86.28277263774122
province-1,jhapa,Rural,Female,142374,104392,296,37675,11,73.53027940494754
province-1,morang,Total(Urban+Rural),Total(Male+Female),1287608,1023579,2567,261345,117,79.69397518499419
province-1,morang,Total(Urban+Rural),Male,625201,536557,1070,87518,56,85.99266475901351
province-1,morang,Total(Urban+Rural),Female,662407,487022,1497,173827,61,73.74906968072499
province-1,morang,Rural,Total(Male+Female),312199,231329,570,80265,35,74.27922575024265
province-1,morang,Rural,Male,151787,123273,257,28240,17,81.38378121973555
province-1,morang,Rural,Female,160412,108056,313,52025,18,67.55666658354737
province-1,morang,Urban,Total(Male+Female),521263,412558,1149,107522,34,79.36627000189922
province-1,morang,Urban,Male,247150,211748,483,34904,15,85.87133319846248
province-1,morang,Urban,Female,274113,200810,666,72618,19,73.50107437443681
province-1,sunsari,Total(Urban+Rural),Total(Male+Female),1188521,955987,2447,230060,27,80.64089738422796
province-1,sunsari,Total(Urban+Rural),Male,567283,491513,909,74850,11,86.80358833245488
province-1,sunsari,Total(Urban+Rural),Female,621238,464474,1538,155210,16,75.01344090348626
province-1,sunsari,Urban,Total(Male+Female),276330,211167,506,64650,7,76.6015271595556
province-1,sunsari,Urban,Male,134341,112753,210,21375,3,84.08676427896175
province-1,sunsari,Urban,Female,141989,98414,296,43275,4,69.5194698180845
province-1,sunsari,Rural,Total(Male+Female),233021,158840,309,73862,10,68.29813621948236
province-1,sunsari,Rural,Male,114896,86646,139,28107,4,75.53352597131318
province-1,sunsari,Rural,Female,118125,72194,170,45755,6,61.260529100529105
province-1,udayapur,Total(Urban+Rural),Total(Male+Female),312990,241542,769,70672,7,77.41812837470846
province-1,udayapur,Total(Urban+Rural),Male,149354,125565,298,23488,3,84.27159634157772
province-1,udayapur,Total(Urban+Rural),Female,163636,115977,471,47184,4,71.16282480627734
