province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
bagmati,chitawan,Rural,Female,12349,8511,22,3816,0,69.09871244635193
gandaki,gandaki,Total(Urban+Rural),Total(Male+Female),2297497,1875910,18252,399642,3693,82.4445907872785
gandaki,gandaki,Total(Urban+Rural),Male,1080724,959289,6332,113407,1696,89.34945462486259
gandaki,gandaki,Total(Urban+Rural),Female,1216773,916621,11920,286235,1997,76.3117689166344
gandaki,gorkha,Total(Urban+Rural),Total(Male+Female),234195,169477,2803,61598,317,73.56262943273768
gandaki,gorkha,Total(Urban+Rural),Male,109347,88053,1052,20107,135,81.4882895735594
gandaki,gorkha,Total(Urban+Rural),Female,124848,81424,1751,41491,182,66.62101114955786
gandaki,gorkha,Rural,Total(Male+Female),147614,101064,1966,44389,195,69.79690273280312
gandaki,gorkha,Rural,Male,69079,53117,775,15096,91,78.0150262742657
gandaki,gorkha,Rural,Female,78535,47947,1191,29293,104,62.56828165785955
gandaki,gorkha,Urban,Total(Male+Female),86581,68413,837,17209,122,79.9829061803398
gandaki,gorkha,Urban,Male,40268,34936,277,5011,44,87.44660772822091
gandaki,gorkha,Urban,Female,46313,33477,560,12198,78,73.49340357998834
gandaki,manang,Total(Urban+Rural),Total(Male+Female),5379,4215,143,1021,0,81.01877672429819
gandaki,manang,Total(Urban+Rural),Male,3055,2650,66,339,0,88.90343698854338
gandaki,manang,Total(Urban+Rural),Female,2324,1565,77,682,0,70.65404475043029
gandaki,manang,Rural,Total(Male+Female),4663,3501,142,1020,0,78.12567016941883
gandaki,manang,Rural,Male,2416,2012,66,338,0,86.00993377483444
gandaki,manang,Rural,Female,2247,1489,76,682,0,69.64842011570983
gandaki,manang,Urban,Total(Male+Female),716,714,1,1,0,99.86033519553072
gandaki,manang,Urban,Male,639,638,0,1,0,99.8435054773083
gandaki,manang,Urban,Female,77,76,1,0,0,100.0
gandaki,mustang,Total(Urban+Rural),Total(Male+Female),13689,10274,241,3137,37,76.81349989042296
gandaki,mustang,Total(Urban+Rural),Male,7548,6303,95,1129,21,84.76417594064652
gandaki,mustang,Total(Urban+Rural),Female,6141,3971,146,2008,16,67.04119850187266
gandaki,mustang,Rural,Total(Male+Female),10580,7211,232,3102,35,70.34971644612476
gandaki,mustang,Rural,Male,5291,4067,95,1110,19,78.66187866187866
gandaki,mustang,Rural,Female,5289,3144,137,1992,16,62.03441104178483
gandaki,mustang,Urban,Total(Male+Female),3109,3063,9,35,2,98.80990672241879
gandaki,mustang,Urban,Male,2257,2236,0,19,2,99.06956136464333
gandaki,mustang,Urban,Female,852,827,9,16,0,98.12206572769952
gandaki,myagdi,Total(Urban+Rural),Total(Male+Female),99025,78918,422,19531,154,80.12118151981824
gandaki,myagdi,Total(Urban+Rural),Male,47933,42041,140,5666,86,87.99991655018464
gandaki,myagdi,Total(Urban+Rural),Female,51092,36877,282,13865,68,72.7295858451421
gandaki,myagdi,Rural,Total(Male+Female),66380,51512,307,14459,102,78.06417595661344
gandaki,myagdi,Rural,Male,31774,27230,105,4396,43,86.02945804746018
gandaki,myagdi,Rural,Female,34606,24282,202,10063,59,70.75073686643934
gandaki,myagdi,Urban,Total(Male+Female),32645,27406,115,5072,52,84.30387501914535
gandaki,myagdi,Urban,Male,16159,14811,35,1270,43,91.8744971842317
gandaki,myagdi,Urban,Female,16486,12595,80,3802,9,76.88341623195439
gandaki,kaski,Total(Urban+Rural),Total(Male+Female),1044264,920885,6736,114292,2351,88.83012341706696
gandaki,kaski,Total(Urban+Rural),Male,502797,471415,2047,28250,1085,94.16563742424874
gandaki,kaski,Total(Urban+Rural),Female,541467,449470,4689,86042,1266,83.8756563188523
gandaki,kaski,Rural,Total(Male+Female),70944,56608,762,13332,242,80.86659900766801
gandaki,kaski,Rural,Male,34327,30020,253,3934,120,88.1900544760684
gandaki,kaski,Rural,Female,36617,26588,509,9398,122,74.00114700822023
gandaki,kaski,Urban,Total(Male+Female),10468,10059,8,320,81,96.1692777990065
gandaki,kaski,Urban,Male,8280,8011,2,250,17,96.77536231884058
gandaki,kaski,Urban,Female,2188,2048,6,70,64,93.87568555758683
gandaki,lamjung,Total(Urban+Rural),Total(Male+Female),146546,113561,1252,31632,101,78.34604833977045
gandaki,lamjung,Total(Urban+Rural),Male,69073,59152,476,9398,47,86.32606083418992
gandaki,lamjung,Total(Urban+Rural),Female,77473,54409,776,22234,54,71.23126766744544
gandaki,lamjung,Rural,Total(Male+Female),46679,33510,414,12713,42,72.675078729193
gandaki,lamjung,Rural,Male,22566,18093,181,4272,20,80.9802357529026
gandaki,lamjung,Rural,Female,24113,15417,233,8441,22,64.90274955418239
gandaki,lamjung,Urban,Total(Male+Female),99867,80051,838,18919,59,80.99672564510799
gandaki,lamjung,Urban,Male,46507,41059,295,5126,27,88.91994753477971
gandaki,lamjung,Urban,Female,53360,38992,543,13793,32,74.09107946026985
gandaki,tanahu,Total(Urban+Rural),Total(Male+Female),299248,244178,2048,52457,565,82.28158584184355
gandaki,tanahu,Total(Urban+Rural),Male,138447,123240,703,14263,241,89.523788886722
gandaki,tanahu,Total(Urban+Rural),Female,160801,120938,1345,38194,324,76.04616886710903
gandaki,tanahu,Urban,Total(Male+Female),195862,163594,1259,30659,350,84.16793456617414
gandaki,tanahu,Urban,Male,90426,82022,393,7857,154,91.14082232986088
gandaki,tanahu,Urban,Female,105436,81572,866,22802,196,78.1877157707045
gandaki,tanahu,Rural,Total(Male+Female),103386,80584,789,21798,215,78.7079488518755
gandaki,tanahu,Rural,Male,48021,41218,310,6406,87,86.47883217758897
gandaki,tanahu,Rural,Female,55365,39366,479,15392,128,71.96784972455522
gandaki,nawalparasi (bardaghat susta east),Total(Urban+Rural),Total(Male+Female),349586,287893,2898,58262,533,83.18153472965164
gandaki,nawalparasi (bardaghat susta east),Total(Urban+Rural),Male,162631,144268,1015,17091,257,89.33290701034858
gandaki,nawalparasi (bardaghat susta east),Total(Urban+Rural),Female,186955,143625,1883,41171,276,77.83049396913697
gandaki,nawalparasi (bardaghat susta east),Urban,Total(Male+Female),265740,222494,2228,40656,362,84.5646120267931
gandaki,nawalparasi (bardaghat susta east),Urban,Male,123914,111188,760,11791,175,90.34330261310264
gandaki,nawalparasi (bardaghat susta east),Urban,Female,141826,111306,1468,28865,187,79.51574464484649
gandaki,nawalparasi (bardaghat susta east),Rural,Total(Male+Female),83846,65399,670,17606,171,78.79803449180642
gandaki,nawalparasi (bardaghat susta east),Rural,Male,38717,33080,255,5300,82,86.09912958132087
gandaki,nawalparasi (bardaghat susta east),Rural,Female,45129,32319,415,12306,89,72.53429058919984
gandaki,syangja,Total(Urban+Rural),Total(Male+Female),236382,193051,1481,41615,235,82.29560626443639
gandaki,syangja,Total(Urban+Rural),Male,107838,96853,509,10365,111,90.28542814221332
gandaki,syangja,Total(Urban+Rural),Female,128544,96198,972,31250,124,75.5927931292009
gandaki,syangja,Urban,Total(Male+Female),158602,131287,867,26285,163,83.32429603661997
gandaki,syangja,Urban,Male,72545,65596,283,6590,76,90.81122062168309
gandaki,syangja,Urban,Female,86057,65691,584,19695,87,77.01291004799144
gandaki,syangja,Rural,Total(Male+Female),77780,61764,614,15330,72,80.19799434301878
gandaki,syangja,Rural,Male,35293,31257,226,3775,35,89.20465814750801
gandaki,syangja,Rural,Female,42487,30507,388,11555,37,72.71636029844423
gandaki,parbat,Total(Urban+Rural),Total(Male+Female),121631,97452,753,23248,178,80.7401073739425
gandaki,parbat,Total(Urban+Rural),Male,56709,49986,276,6366,81,88.63143416388934
gandaki,parbat,Total(Urban+Rural),Female,64922,47466,477,16882,97,73.84707803210006
gandaki,parbat,Rural,Total(Male+Female),66418,52947,442,12932,97,80.38332982022945
gandaki,parbat,Rural,Male,31014,27146,157,3664,47,88.03443606113368
gandaki,parbat,Rural,Female,35404,25801,285,9268,50,73.6809400067789
gandaki,parbat,Urban,Total(Male+Female),55213,44505,311,10316,81,81.16928984116059
gandaki,parbat,Urban,Male,25695,22840,119,2702,34,89.35201401050789
gandaki,parbat,Urban,Female,29518,21665,192,7614,47,74.04634460329291
gandaki,baglung,Total(Urban+Rural),Total(Male+Female),228978,183115,2458,43169,236,81.04403043087109
gandaki,baglung,Total(Urban+Rural),Male,105441,92020,849,12466,106,88.07674434043683
gandaki,baglung,Total(Urban+Rural),Female,123537,91095,1609,30703,130,75.04148554684022
gandaki,baglung,Urban,Total(Male+Female),132472,108044,1067,23216,145,82.36533003200677
gandaki,baglung,Urban,Male,61458,54728,334,6325,71,89.59289270721469
gandaki,baglung,Urban,Female,71014,53316,733,16891,74,76.11034443912467
gandaki,baglung,Rural,Total(Male+Female),96506,75071,1391,19953,91,79.23030692392183
gandaki,baglung,Rural,Male,43983,37292,515,6141,35,85.95821112702635
gandaki,baglung,Rural,Female,52523,37779,876,13812,56,73.5963292271957
lumbini,lumbini,Total(Urban+Rural),Total(Male+Female),4682237,3655933,25233,998751,2320,78.61981356347404
lumbini,lumbini,Total(Urban+Rural),Male,2223630,1894018,9229,319293,1090,85.59189253607839
lumbini,lumbini,Total(Urban+Rural),Female,2458607,1761915,16004,679458,1230,72.31407866324305
lumbini,rukum (east),Total(Urban+Rural),Total(Male+Female),51170,36510,165,14468,27,71.67285518858706
lumbini,rukum (east),Total(Urban+Rural),Male,24584,19584,81,4908,11,79.99105109013993
lumbini,rukum (east),Total(Urban+Rural),Female,26586,16926,84,9560,16,63.98104265402843
lumbini,rukum (east),Rural,Total(Male+Female),51059,36399,165,14468,27,71.6112732329266
lumbini,rukum (east),Rural,Male,24483,19483,81,4908,11,79.90850794428788
lumbini,rukum (east),Rural,Female,26576,16916,84,9560,16,63.96748946417821
lumbini,rukum (east),Urban,Total(Male+Female),111,111,0,0,0,100.0
lumbini,rukum (east),Urban,Male,101,101,0,0,0,100.0
lumbini,rukum (east),Urban,Female,10,10,0,0,0,100.0
lumbini,rolpa,Total(Urban+Rural),Total(Male+Female),210714,159372,1597,49614,131,76.39217137921544
lumbini,rolpa,Total(Urban+Rural),Male,97453,81848,543,15004,58,84.5443444532236
lumbini,rolpa,Total(Urban+Rural),Female,113261,77524,1054,34610,73,69.37780877795534
lumbini,rolpa,Rural,Total(Male+Female),177073,132499,1182,43282,110,75.49485240550507
lumbini,rolpa,Rural,Male,81615,67959,436,13172,48,83.80199718189058
lumbini,rolpa,Rural,Female,95458,64540,746,30110,62,68.39238198998513
lumbini,rolpa,Urban,Total(Male+Female),33641,26873,415,6332,21,81.11530572812936
lumbini,rolpa,Urban,Male,15838,13889,107,1832,10,88.36974365450183
lumbini,rolpa,Urban,Female,17803,12984,308,4500,11,74.66157389204066
lumbini,pyuthan,Total(Urban+Rural),Total(Male+Female),210494,168663,997,40758,76,80.6008722338879
lumbini,pyuthan,Total(Urban+Rural),Male,92881,81625,327,10899,30,88.23333082115825
lumbini,pyuthan,Total(Urban+Rural),Female,117613,87038,670,29859,46,74.57338899611437
lumbini,pyuthan,Rural,Total(Male+Female),141498,111219,627,29605,47,79.04422677352329
lumbini,pyuthan,Rural,Male,62562,54021,238,8287,16,86.72836546146223
lumbini,pyuthan,Rural,Female,78936,57198,389,21318,31,72.95403871490828
lumbini,pyuthan,Urban,Total(Male+Female),68996,57444,370,11153,29,83.7932633775871
lumbini,pyuthan,Urban,Male,30319,27604,89,2612,14,91.33876447112371
lumbini,pyuthan,Urban,Female,38677,29840,281,8541,15,77.87832561987744
lumbini,gulmi,Total(Urban+Rural),Total(Male+Female),226675,182112,1495,43004,64,81.00011029006286
lumbini,gulmi,Total(Urban+Rural),Male,101591,89408,452,11701,30,88.45271726826195
lumbini,gulmi,Total(Urban+Rural),Female,125084,92704,1043,31303,34,74.94723545777238
lumbini,gulmi,Rural,Total(Male+Female),170813,135607,1198,33954,54,80.09050833367483
lumbini,gulmi,Rural,Male,75974,66356,356,9238,24,87.80898728512386
lumbini,gulmi,Rural,Female,94839,69251,842,24716,30,73.90735878699691
lumbini,gulmi,Urban,Total(Male+Female),55862,46505,297,9050,10,83.78146145859439
lumbini,gulmi,Urban,Male,25617,23052,96,2463,6,90.36186907131982
lumbini,gulmi,Urban,Female,30245,23453,201,6587,4,78.2079682592164
lumbini,arghakhanchi,Total(Urban+Rural),Total(Male+Female),162593,130150,1182,31210,51,80.77346503231996
lumbini,arghakhanchi,Total(Urban+Rural),Male,72818,63896,400,8500,22,88.29684968002417
lumbini,arghakhanchi,Total(Urban+Rural),Female,89775,66254,782,22710,29,74.67112225006962
lumbini,arghakhanchi,Rural,Total(Male+Female),62885,49310,472,13083,20,79.16355251649837
lumbini,arghakhanchi,Rural,Male,27479,23736,172,3559,12,87.00462171112487
lumbini,arghakhanchi,Rural,Female,35406,25574,300,9524,8,73.07800937694176
lumbini,arghakhanchi,Urban,Total(Male+Female),99708,80840,710,18127,31,81.78882336422353
lumbini,arghakhanchi,Urban,Male,45339,40160,228,4941,10,89.08004146540506
lumbini,arghakhanchi,Urban,Female,54369,40680,482,13186,21,75.70858393569864
lumbini,palpa,Total(Urban+Rural),Total(Male+Female),227126,190041,1411,35586,88,84.2932997543214
lumbini,palpa,Total(Urban+Rural),Male,103283,93483,429,9331,40,90.9268708306304
lumbini,palpa,Total(Urban+Rural),Female,123843,96558,982,26255,48,78.76101192639067
lumbini,palpa,Urban,Total(Male+Female),88256,77256,195,10783,22,87.7572063089195
lumbini,palpa,Urban,Male,40698,37959,57,2672,10,93.40999557717824
lumbini,palpa,Urban,Female,47558,39297,138,8111,12,82.91980318768661
lumbini,palpa,Rural,Total(Male+Female),138870,112785,1216,24803,66,82.0918844962915
lumbini,palpa,Rural,Male,62585,55524,372,6659,30,89.31213549572581
lumbini,palpa,Rural,Female,76285,57261,844,18144,36,76.1683161827358
lumbini,nawalparasi (bardaghat susta west),Total(Urban+Rural),Total(Male+Female),355735,277362,2110,76103,160,78.56185081591634
lumbini,nawalparasi (bardaghat susta west),Total(Urban+Rural),Male,171876,148280,702,22809,85,86.67993204403174
lumbini,nawalparasi (bardaghat susta west),Total(Urban+Rural),Female,183859,129082,1408,53294,75,70.97286507595494
lumbini,nawalparasi (bardaghat susta west),Urban,Total(Male+Female),199449,163135,1352,34878,84,82.47070679722636
lumbini,nawalparasi (bardaghat susta west),Urban,Male,95411,85297,419,9652,43,89.8386978440641
lumbini,nawalparasi (bardaghat susta west),Urban,Female,104038,77838,933,25226,41,75.71368153943752
lumbini,nawalparasi (bardaghat susta west),Rural,Total(Male+Female),156286,114227,758,41225,76,73.57344867742472
lumbini,nawalparasi (bardaghat susta west),Rural,Male,76465,62983,283,13157,42,82.73850781403257
lumbini,nawalparasi (bardaghat susta west),Rural,Female,79821,51244,475,28068,34,64.79372596183963
lumbini,rupandehi,Total(Urban+Rural),Total(Male+Female),1211778,1002610,4043,204352,773,83.07239444848808
lumbini,rupandehi,Total(Urban+Rural),Male,589909,527295,1541,60697,376,89.64704725644125
lumbini,rupandehi,Total(Urban+Rural),Female,621869,475315,2502,143655,397,76.83563580110923
lumbini,rupandehi,Urban,Total(Male+Female),434880,363420,1440,69801,219,83.89900662251655
lumbini,rupandehi,Urban,Male,210305,189311,563,20318,113,90.2850621716079
lumbini,rupandehi,Urban,Female,224575,174109,877,49483,106,77.91873538906825
lumbini,rupandehi,Rural,Total(Male+Female),413882,307702,1533,104291,356,74.71574023513948
lumbini,rupandehi,Rural,Male,203742,170508,636,32427,171,84.0003533881085
lumbini,rupandehi,Rural,Female,210140,137194,897,71864,185,65.71380984105835
lumbini,kapilbastu,Total(Urban+Rural),Total(Male+Female),614334,441191,3053,169738,352,72.31310655115946
lumbini,kapilbastu,Total(Urban+Rural),Male,299627,238606,1396,59462,163,80.10025798743104
lumbini,kapilbastu,Total(Urban+Rural),Female,314707,202585,1657,110276,189,64.89909662003069
lumbini,kapilbastu,Urban,Total(Male+Female),439789,321506,2179,115868,236,73.60006730500308
lumbini,kapilbastu,Urban,Male,214648,172990,969,40588,101,81.04384853341284
lumbini,kapilbastu,Urban,Female,225141,148516,1210,75280,135,66.50321354173607
lumbini,kapilbastu,Rural,Total(Male+Female),174545,119685,874,53870,116,69.07044028760492
lumbini,kapilbastu,Rural,Male,84979,65616,427,18874,62,77.71684769178268
lumbini,kapilbastu,Rural,Female,89566,54069,447,34996,54,60.866846794542575
lumbini,dang,Total(Urban+Rural),Total(Male+Female),972449,797493,3279,171263,414,82.34591222778778
lumbini,dang,Total(Urban+Rural),Male,455302,402812,1098,51202,190,88.71254683704443
lumbini,dang,Total(Urban+Rural),Female,517147,394681,2181,120061,224,76.74065594502143
lumbini,dang,Rural,Total(Male+Female),211490,165866,867,44658,99,78.83729727173862
lumbini,dang,Rural,Male,99253,84368,309,14527,49,85.31429780460037
lumbini,dang,Rural,Female,112237,81498,558,30131,50,73.10958061958178
lumbini,dang,Urban,Total(Male+Female),59375,48697,182,10475,21,82.32252631578947
lumbini,dang,Urban,Male,30317,26636,63,3611,7,88.06610152719597
lumbini,dang,Urban,Female,29058,22061,119,6864,14,76.33009842384197
lumbini,banke,Total(Urban+Rural),Total(Male+Female),699271,517541,3637,177685,408,74.53161935787412
lumbini,banke,Total(Urban+Rural),Male,343358,274376,1568,67230,184,80.36626494795519
lumbini,banke,Total(Urban+Rural),Female,355913,243165,2069,110455,224,68.90279366024843
lumbini,banke,Rural,Total(Male+Female),298565,204923,1583,91913,146,69.16617821914825
lumbini,banke,Rural,Male,142686,107768,674,34175,69,76.00044853734774
lumbini,banke,Rural,Female,155879,97155,909,57738,77,62.9103342977566
lumbini,banke,Urban,Total(Male+Female),99806,83200,528,16040,38,83.89074805121936
lumbini,banke,Urban,Male,49850,44472,192,5167,19,89.59679037111334
lumbini,banke,Urban,Female,49956,38728,336,10873,19,78.19681319561214
lumbini,bardiya,Total(Urban+Rural),Total(Male+Female),422648,324806,4677,93031,134,77.95683405576271
lumbini,bardiya,Total(Urban+Rural),Male,197156,163515,1577,32002,62,83.73673639148694
lumbini,bardiya,Total(Urban+Rural),Female,225492,161291,3100,61029,72,72.90325155659623
lumbini,bardiya,Urban,Total(Male+Female),343356,263109,3184,76958,105,77.55594776267199
lumbini,bardiya,Urban,Male,161117,133087,1117,26865,48,83.29598987071508
lumbini,bardiya,Urban,Female,182239,130022,2067,50093,57,72.48119228046686
lumbini,bardiya,Rural,Total(Male+Female),79292,61697,1493,16073,29,79.6927811128487
lumbini,bardiya,Rural,Male,36039,30428,460,5137,14,85.70715058686423
lumbini,bardiya,Rural,Female,43253,31269,1033,10936,15,74.68152498092618
karnali,karnali,Total(Urban+Rural),Total(Male+Female),1519611,1156194,8980,352697,1740,76.67580716380705
karnali,karnali,Total(Urban+Rural),Male,735203,612069,3398,118887,849,83.7138858247314
karnali,karnali,Total(Urban+Rural),Female,784408,544125,5582,233810,891,70.07921897787885
karnali,dolpa,Total(Urban+Rural),Total(Male+Female),39136,26229,486,12379,42,68.26195829926411
karnali,dolpa,Total(Urban+Rural),Male,19552,14734,186,4613,19,76.30932896890343
karnali,dolpa,Total(Urban+Rural),Female,19584,11495,300,7766,23,60.227736928104584
karnali,dolpa,Rural,Total(Male+Female),18444,11133,254,7029,28,61.73823465625677
karnali,dolpa,Rural,Male,8990,6110,115,2754,11,69.2436040044494
karnali,dolpa,Rural,Female,9454,5023,139,4275,17,54.601226993865026
karnali,dolpa,Urban,Total(Male+Female),20692,15096,232,5350,14,74.07693794703268
karnali,dolpa,Urban,Male,10562,8624,71,1859,8,82.32342359401629
karnali,dolpa,Urban,Female,10130,6472,161,3491,6,65.47877591312931
karnali,mugu,Total(Urban+Rural),Total(Male+Female),57609,39225,331,18027,26,68.66288253571491
karnali,mugu,Total(Urban+Rural),Male,28852,22299,170,6373,10,77.87675031193679
karnali,mugu,Total(Urban+Rural),Female,28757,16926,161,11654,16,59.41857634662865
karnali,mugu,Rural,Total(Male+Female),35139,23128,216,11781,14,66.4333077207661
karnali,mugu,Rural,Male,17385,12998,113,4269,5,75.41558815070462
karnali,mugu,Rural,Female,17754,10130,103,7512,9,57.637715444406886
karnali,mugu,Urban,Total(Male+Female),22470,16097,115,6246,12,72.14953271028037
karnali,mugu,Urban,Male,11467,9301,57,2104,5,81.60809278800035
karnali,mugu,Urban,Female,11003,6796,58,4142,7,62.292102153958005
karnali,humla,Total(Urban+Rural),Total(Male+Female),49325,31491,286,17490,58,64.42372022301063
karnali,humla,Total(Urban+Rural),Male,24763,18164,129,6437,33,73.87230949400315
karnali,humla,Total(Urban+Rural),Female,24562,13327,157,11053,25,54.897809624623406
karnali,humla,Rural,Total(Male+Female),47825,30011,286,17470,58,63.34971249346576
karnali,humla,Rural,Male,23703,17114,129,6427,33,72.74606589883138
karnali,humla,Rural,Female,24122,12897,157,11043,25,54.116574081751104
karnali,humla,Urban,Total(Male+Female),1500,1480,0,20,0,98.66666666666667
karnali,humla,Urban,Male,1060,1050,0,10,0,99.05660377358491
karnali,humla,Urban,Female,440,430,0,10,0,97.72727272727273
karnali,jumla,Total(Urban+Rural),Total(Male+Female),107647,75564,746,30888,449,70.88910977546983
karnali,jumla,Total(Urban+Rural),Male,53523,42246,274,10785,218,79.44248267100124
karnali,jumla,Total(Urban+Rural),Female,54124,33318,472,20103,231,62.430714655236116
karnali,jumla,Rural,Total(Male+Female),87063,59369,649,26609,436,68.93628751593674
karnali,jumla,Rural,Male,42970,32880,237,9640,213,77.07004887130556
karnali,jumla,Rural,Female,44093,26489,412,16969,223,61.00968407683759
karnali,jumla,Urban,Total(Male+Female),20584,16195,97,4279,13,79.14885347842984
karnali,jumla,Urban,Male,10553,9366,37,1145,5,89.10262484601536
karnali,jumla,Urban,Female,10031,6829,60,3134,8,68.67710098694049
karnali,kalikot,Total(Urban+Rural),Total(Male+Female),128678,93570,801,34135,172,73.33887688649186
karnali,kalikot,Total(Urban+Rural),Male,63528,50700,368,12374,86,80.38660118373001
karnali,kalikot,Total(Urban+Rural),Female,65150,42870,433,21761,86,66.46661550268611
karnali,kalikot,Rural,Total(Male+Female),78752,57215,555,20893,89,73.35686712718406
karnali,kalikot,Rural,Male,38736,30856,257,7583,40,80.32063197026022
karnali,kalikot,Rural,Female,40016,26359,298,13310,49,66.61585365853658
karnali,kalikot,Urban,Total(Male+Female),49926,36355,246,13242,83,73.31049953931819
karnali,kalikot,Urban,Male,24792,19844,111,4791,46,80.48967408841563
karnali,kalikot,Urban,Female,25134,16511,135,8451,37,66.22901249303732
karnali,dailekh,Total(Urban+Rural),Total(Male+Female),225508,170256,1156,53895,201,76.01149404899161
karnali,dailekh,Total(Urban+Rural),Male,106835,88719,444,17575,97,83.45860438994711
karnali,dailekh,Total(Urban+Rural),Female,118673,81537,712,36320,104,69.30725607341182
karnali,dailekh,Rural,Total(Male+Female),115426,87606,716,27013,91,76.5182887737598
karnali,dailekh,Rural,Male,54682,45527,259,8848,48,83.73139241432281
karnali,dailekh,Rural,Female,60744,42079,457,18165,43,70.02502304754378
karnali,dailekh,Urban,Total(Male+Female),110082,82650,440,26882,110,75.48009665522065
karnali,dailekh,Urban,Male,52153,43192,185,8727,49,83.17258834582863
karnali,dailekh,Urban,Female,57929,39458,255,18155,61,68.55460995356385
karnali,jajarkot,Total(Urban+Rural),Total(Male+Female),167750,126648,1036,39895,171,76.11564828614009
karnali,jajarkot,Total(Urban+Rural),Male,83005,67485,472,14960,88,81.87097162821517
karnali,jajarkot,Total(Urban+Rural),Female,84745,59163,564,24935,83,70.47849430644875
karnali,jajarkot,Rural,Total(Male+Female),73498,55752,637,17017,92,76.72181555960707
karnali,jajarkot,Rural,Male,36528,29649,287,6545,47,81.95356986421375
karnali,jajarkot,Rural,Female,36970,26103,350,10472,45,71.55261022450635
karnali,jajarkot,Urban,Total(Male+Female),94252,70896,399,22878,79,75.64295717862751
karnali,jajarkot,Urban,Male,46477,37836,185,8415,41,81.8060546076554
karnali,jajarkot,Urban,Female,47775,33060,214,14463,38,69.6473050758765
karnali,rukum (west),Total(Urban+Rural),Total(Male+Female),150201,113762,604,35688,147,76.1419697605209
karnali,rukum (west),Total(Urban+Rural),Male,72256,59645,237,12308,66,82.87477856510186
karnali,rukum (west),Total(Urban+Rural),Female,77945,54117,367,23380,81,69.90057091538905
karnali,rukum (west),Urban,Total(Male+Female),90726,68385,369,21898,74,75.78202499834667
karnali,rukum (west),Urban,Male,43870,36123,153,7562,32,82.68976521540917
karnali,rukum (west),Urban,Female,46856,32262,216,14336,42,69.3144954754994
karnali,rukum (west),Rural,Total(Male+Female),59475,45377,235,13790,73,76.69104665825978
karnali,rukum (west),Rural,Male,28386,23522,84,4746,34,83.1607130275488
karnali,rukum (west),Rural,Female,31089,21855,151,9044,39,70.78387854224967
karnali,salyan,Total(Urban+Rural),Total(Male+Female),215417,166510,1394,47342,171,77.94370917801288
karnali,salyan,Total(Urban+Rural),Male,102832,87356,433,14961,82,85.37128520304962
karnali,salyan,Total(Urban+Rural),Female,112585,79154,961,32381,89,71.15956832615358
karnali,salyan,Rural,Total(Male+Female),122337,94758,987,26486,106,78.26332180779323
karnali,salyan,Rural,Male,58300,49569,318,8359,54,85.56946826758147
karnali,salyan,Rural,Female,64037,45189,669,18127,52,71.61172447178976
karnali,salyan,Urban,Total(Male+Female),93080,71752,407,20856,65,77.5236355822948
karnali,salyan,Urban,Male,44532,37787,115,6602,28,85.11182969549986
karnali,salyan,Urban,Female,48548,33965,292,14254,37,70.56315399192552
karnali,surkhet,Total(Urban+Rural),Total(Male+Female),378340,312939,2140,62958,303,83.27932547444098
karnali,surkhet,Total(Urban+Rural),Male,180057,160721,685,18501,150,89.6416134890618
karnali,surkhet,Total(Urban+Rural),Female,198283,152218,1455,44457,153,77.50185341153806
karnali,surkhet,Rural,Total(Male+Female),83095,63930,503,18577,85,77.54136831337625
karnali,surkhet,Rural,Male,38718,32864,187,5619,48,85.36339686967302
karnali,surkhet,Rural,Female,44377,31066,316,12958,37,70.71681276336841
karnali,surkhet,Urban,Total(Male+Female),295245,249009,1637,44381,218,84.89424037663636
karnali,surkhet,Urban,Male,141339,127857,498,12882,102,90.81357587077876
karnali,surkhet,Urban,Female,153906,121152,1139,31499,116,79.45824074435045
sudurpaschim,sudurpaschim,Total(Urban+Rural),Total(Male+Female),2455644,1871952,15640,566996,1056,76.86749382239445
sudurpaschim,sudurpaschim,Total(Urban+Rural),Male,1145018,978215,5469,160844,490,85.90991582665076
sudurpaschim,sudurpaschim,Total(Urban+Rural),Female,1310626,893737,10171,406152,566,68.96765362506162
sudurpaschim,bajura,Total(Urban+Rural),Total(Male+Female),123900,88267,530,35020,83,71.6682808716707
sudurpaschim,bajura,Total(Urban+Rural),Male,59464,47469,218,11740,37,80.19473967442487
sudurpaschim,bajura,Total(Urban+Rural),Female,64436,40798,312,23280,46,63.79973927618102
sudurpaschim,bajura,Rural,Total(Male+Female),54454,37771,228,16436,19,69.7818342086899
sudurpaschim,bajura,Rural,Male,26292,20326,98,5858,10,77.6814240073026
sudurpaschim,bajura,Rural,Female,28162,17445,130,10578,9,62.40678929053334
sudurpaschim,bajura,Urban,Total(Male+Female),69446,50496,302,18584,64,73.14748149641449
sudurpaschim,bajura,Urban,Male,33172,27143,120,5882,27,82.18678403472809
sudurpaschim,bajura,Urban,Female,36274,23353,182,12702,37,64.88118211391078
sudurpaschim,bajhang,Total(Urban+Rural),Total(Male+Female),170413,120205,757,49392,59,70.98167393332669
sudurpaschim,bajhang,Total(Urban+Rural),Male,78713,65202,286,13195,30,83.19845514718025
sudurpaschim,bajhang,Total(Urban+Rural),Female,91700,55003,471,36197,29,60.49509269356598
sudurpaschim,bajhang,Rural,Total(Male+Female),120038,83676,510,35805,47,70.13279128276045
sudurpaschim,bajhang,Rural,Male,54935,45080,201,9631,23,82.42650405024119
